first_name,last_name,dob,full_name,normalized_name,normalized_name_df2,nick_name,height,weight,reach,stance,is_active
Acacio,Dos Santos,1991-09-29,Acacio Dos Santos,acacio dos santos,acacio dos santos,Pequeno,76.0,205.0,79.0,Orthodox,False
Achilles,Estremadura,1992-03-11,Achilles Estremadura,achilles estremadura,achilles estremadura,,70.0,155.0,68.0,Orthodox,False
Achmed,Labasanov,1978-04-24,Achmed Labasanov,achmed labasanov,achmed labasanov,,75.0,215.0,,Orthodox,False
Adam,Antolin,1982-02-28,Adam Antolin,adam antolin,adam antolin,Captain Chaos,65.0,125.0,63.0,Orthodox,False
Adam,Bramhald,1994-03-24,Adam Bramhald,adam bramhald,adam bramhald,Samurai,70.0,135.0,70.0,Orthodox,False
Adam,Cella,1985-06-26,Adam Cella,adam cella,adam cella,El Naturel,74.0,170.0,,,False
Adam,Fugitt,1989-01-12,Adam Fugitt,adam fugitt,adam fugitt,,73.0,170.0,77.0,Southpaw,False
Adam,Hunter,1983-10-16,Adam Hunter,adam hunter,adam hunter,Warhammer,73.0,185.0,,Orthodox,False
Adam,Khaliev,1984-04-16,Adam Khaliev,adam khaliev,adam khaliev,,72.0,170.0,,Orthodox,False
Adam,Livingston,2001-08-15,Adam Livingston,adam livingston,adam livingston,Bomb,,155.0,,,False
Adam,Lynn,,Adam Lynn,adam lynn,adam lynn,,70.0,155.0,,Orthodox,False
Adam,Meredith,,Adam Meredith,adam meredith,adam meredith,,74.0,170.0,,,False
Adam,Milstead,1987-07-03,Adam Milstead,adam milstead,adam milstead,The Prototype,75.0,205.0,76.0,Orthodox,False
Adam,Piccolotti,1988-10-23,Adam Piccolotti,adam piccolotti,adam piccolotti,,71.0,155.0,,,False
Adam,Schindler,1983-05-19,Adam Schindler,adam schindler,adam schindler,,68.0,155.0,,,False
Adam,Smith,,Adam Smith,adam smith,adam smith,,,,,,False
Adam,Steele,,Adam Steele,adam steele,adam steele,,,170.0,,,False
Adam,Wieczorek,1992-02-05,Adam Wieczorek,adam wieczorek,adam wieczorek,Siwy,77.0,250.0,81.0,Orthodox,False
Adam,Yandiev,1988-08-07,Adam Yandiev,adam yandiev,adam yandiev,Boroda,69.0,185.0,74.0,Orthodox,False
Adilet,Nurmatov,1997-08-02,Adilet Nurmatov,adilet nurmatov,adilet nurmatov,Kok-Zhal,,155.0,,,False
Adin,Duenas,1988-07-02,Adin Duenas,adin duenas,adin duenas,,66.0,145.0,,,False
Adlan,Amagov,1986-10-30,Adlan Amagov,adlan amagov,adlan amagov,Borz,74.0,170.0,76.0,Orthodox,False
Adli,Edwards,1989-08-28,Adli Edwards,adli edwards,adli edwards,,,145.0,,,False
Adrian,Diaz,1988-04-26,Adrian Diaz,adrian diaz,adrian diaz,,70.0,145.0,,Southpaw,False
Adrian,Serrano,2063-12-23,Adrian Serrano,adrian serrano,adrian serrano,,68.0,170.0,,,False
Adrian,Yanez,1993-11-29,Adrian Yanez,adrian yanez,adrian yanez,,67.0,135.0,70.0,Orthodox,True
Adriano,Martins,1982-12-16,Adriano Martins,adriano martins,adriano martins,,70.0,155.0,72.0,Southpaw,False
Adriano,Santos,,Adriano Santos,adriano santos,adriano santos,,,,,,False
Adrienna,Jenkins,1981-07-22,Adrienna Jenkins,adrienna jenkins,adrienna jenkins,AJ,68.0,145.0,,,False
Ahejiang,Ailinuer,,Ahejiang Ailinuer,ahejiang ailinuer,ahejiang ailinuer,,,145.0,,,False
Ahmad,Hassanzada,1996-11-20,Ahmad Hassanzada,ahmad hassanzada,ahmad hassanzada,Lion of the Ring,73.0,155.0,75.0,Orthodox,False
Aiemann,Zahabi,1987-11-19,Aiemann Zahabi,aiemann zahabi,aiemann zahabi,,68.0,135.0,68.0,Orthodox,True
Ailin,Perez,1994-10-05,Ailin Perez,ailin perez,ailin perez,Fiona,65.0,135.0,66.0,Switch,True
Ailiya,Muratbek,,Ailiya Muratbek,ailiya muratbek,ailiya muratbek,,,155.0,,,False
Aisling,Daly,1987-12-24,Aisling Daly,aisling daly,aisling daly,Ais the Bash,62.0,115.0,64.0,Orthodox,False
Aji,Susilo,,Aji Susilo,aji susilo,aji susilo,,70.0,155.0,,,False
Akbarh,Arreola,1983-01-14,Akbarh Arreola,akbarh arreola,akbarh arreola,El Caballero,70.0,155.0,71.0,Southpaw,False
Akihiro,Gono,2074-10-07,Akihiro Gono,akihiro gono,akihiro gono,,67.0,170.0,68.0,Switch,False
Akihito,Tanaka,,Akihito Tanaka,akihito tanaka,akihito tanaka,Kinniku Mantaro,,,,Southpaw,False
Akira,Corassani,1982-08-27,Akira Corassani,akira corassani,akira corassani,,68.0,145.0,68.0,Orthodox,False
Akira,Kikuchi,1978-07-23,Akira Kikuchi,akira kikuchi,akira kikuchi,,68.0,155.0,,Orthodox,False
Akira,Shoji,2074-01-31,Akira Shoji,akira shoji,akira shoji,,68.0,195.0,,Orthodox,False
Akitoshi,Tamura,1980-05-31,Akitoshi Tamura,akitoshi tamura,akitoshi tamura,The Ironman,69.0,135.0,70.0,Orthodox,False
Akiyo,Nishiura,1983-08-08,Akiyo Nishiura,akiyo nishiura,akiyo nishiura,Wicky Akiyo,68.0,139.0,,Southpaw,False
Al,Iaquinta,1987-04-30,Al Iaquinta,al iaquinta,al iaquinta,Raging,70.0,155.0,70.0,Orthodox,True
Al,Matavao,1994-02-23,Al Matavao,al matavao,al matavao,Sweetness,68.0,205.0,67.0,Orthodox,False
Alain,Van der Merckt,1993-06-11,Alain Van der Merckt,alain van der merckt,alain van der merckt,Top Boy,,185.0,,,False
Alan,Baudot,1988-02-01,Alan Baudot,alan baudot,alan baudot,The Black Samourai,75.0,243.0,79.0,Orthodox,False
Alan,Belcher,1984-04-24,Alan Belcher,alan belcher,alan belcher,The Talent,74.0,185.0,75.0,Orthodox,False
Alan,Gomez,,Alan Gomez,alan gomez,alan gomez,,,155.0,,,False
Alan,Hiro,1986-04-04,Alan Hiro,alan hiro,alan hiro,Yamaniha,65.0,135.0,,Orthodox,False
Alan,Jouban,1981-11-25,Alan Jouban,alan jouban,alan jouban,Brahma,72.0,170.0,73.0,Southpaw,False
Alan,Omer,1988-09-14,Alan Omer,alan omer,alan omer,,70.0,145.0,,Orthodox,False
Alan,Patrick,1983-07-19,Alan Patrick,alan patrick,alan patrick,Nuguette,71.0,155.0,74.0,Southpaw,False
Alavutdin,Gadjiev,1982-06-23,Alavutdin Gadjiev,alavutdin gadjiev,alavutdin gadjiev,,74.0,185.0,,Orthodox,False
Albert,Cheng,1985-02-07,Albert Cheng,albert cheng,albert cheng,,71.0,170.0,,Orthodox,False
Albert,Duraev,1989-01-05,Albert Duraev,albert duraev,albert duraev,,71.0,185.0,75.0,Orthodox,True
Albert,Morales,1991-05-25,Albert Morales,albert morales,albert morales,The Warrior,69.0,135.0,72.0,Orthodox,False
Albert,Rios,,Albert Rios,albert rios,albert rios,,68.0,145.0,,,False
Albert,Tadevosyan,1992-04-12,Albert Tadevosyan,albert tadevosyan,albert tadevosyan,Albeezy,,170.0,,,False
Albert,Tumenov,1991-12-26,Albert Tumenov,albert tumenov,albert tumenov,Einstein,71.0,170.0,73.0,Orthodox,False
Alberta Cerra,Leon,,Alberta Cerra Leon,alberta cerra leon,alberta cerra leon,,68.0,238.0,,,False
Alberto,Crane,1976-07-14,Alberto Crane,alberto crane,alberto crane,,65.0,155.0,,Orthodox,False
Alberto,Mina,1982-05-02,Alberto Mina,alberto mina,alberto mina,Soldier of God,72.0,170.0,77.0,Orthodox,False
Alberto,Montes,1994-05-31,Alberto Montes,alberto montes,alberto montes,The Promise,67.0,145.0,69.0,Orthodox,True
Alberto,Uda,1984-08-08,Alberto Uda,alberto uda,alberto uda,,75.0,185.0,,Orthodox,False
Alden,Coria,1998-04-24,Alden Coria,alden coria,alden coria,Cobra,,125.0,,Orthodox,True
Alejandro,Flores,1991-08-06,Alejandro Flores,alejandro flores,alejandro flores,El Gallito,70.0,145.0,73.0,Orthodox,False
Alejandro,Garcia,,Alejandro Garcia,alejandro garcia,alejandro garcia,Alex,67.0,145.0,,,False
Alejandro,Perez,1989-09-02,Alejandro Perez,alejandro perez,alejandro perez,Turbo,66.0,135.0,67.0,Orthodox,False
Alejandro,Villalobos,1979-10-26,Alejandro Villalobos,alejandro villalobos,alejandro villalobos,,67.0,145.0,,,False
Aleksa,Camur,1995-09-25,Aleksa Camur,aleksa camur,aleksa camur,,73.0,205.0,74.0,Orthodox,True
Aleksandar,Rakic,1992-02-06,Aleksandar Rakic,aleksandar rakic,aleksandar rakic,Rocket,76.0,205.0,78.0,Orthodox,True
Aleksander,Emelianenko,1981-08-02,Aleksander Emelianenko,aleksander emelianenko,aleksander emelianenko,,78.0,255.0,,Orthodox,False
Aleksandra,Albu,1990-07-14,Aleksandra Albu,aleksandra albu,aleksandra albu,Stitch,62.0,115.0,63.0,Orthodox,False
Aleksandre,Topuria,1996-01-28,Aleksandre Topuria,aleksandre topuria,aleksandre topuria,El Conquistador,67.0,135.0,68.0,Orthodox,True
Aleksei,Kunchenko,1984-05-02,Aleksei Kunchenko,aleksei kunchenko,aleksei kunchenko,,68.0,170.0,70.0,Orthodox,False
Aleksei,Oleinik,1977-06-20,Aleksei Oleinik,aleksei oleinik,aleksei oleinik,The Boa Constrictor,74.0,240.0,80.0,Orthodox,False
Alen,Amedovski,1988-04-06,Alen Amedovski,alen amedovski,alen amedovski,,70.0,185.0,74.0,Orthodox,False
Alessandro,Costa,1996-01-28,Alessandro Costa,alessandro costa,alessandro costa,Nono,64.0,125.0,67.0,Orthodox,True
Alessio,Di Chirico,1989-12-12,Alessio Di Chirico,alessio di chirico,alessio di chirico,Manzo,72.0,185.0,74.0,Orthodox,False
Alessio,Sakara,1981-09-02,Alessio Sakara,alessio sakara,alessio sakara,Legionarius,72.0,185.0,72.0,Orthodox,False
Alex,Andrade,2074-05-14,Alex Andrade,alex andrade,alex andrade,El Toro,71.0,200.0,,Orthodox,False
Alex,Caceres,1988-06-20,Alex Caceres,alex caceres,alex caceres,Bruce Leeroy,70.0,145.0,73.0,Southpaw,False
Alex,Chambers,1978-10-25,Alex Chambers,alex chambers,alex chambers,Astro Girl,63.0,115.0,63.0,Southpaw,False
Alex,Crispin,,Alex Crispin,alex crispin,alex crispin,,,155.0,,,False
Alex,Da Silva,1996-02-04,Alex Da Silva,alex da silva,alex da silva,Leko,68.0,155.0,73.0,Orthodox,False
Alex,Dunworth,,Alex Dunworth,alex dunworth,alex dunworth,,68.0,155.0,,,False
Alex,Enlund,1987-05-27,Alex Enlund,alex enlund,alex enlund,,70.0,145.0,,Orthodox,False
Alex,Garcia,1987-07-14,Alex Garcia,alex garcia,alex garcia,The Dominican Nightmare,69.0,170.0,72.0,Orthodox,False
Alex,Gilpin,1992-03-26,Alex Gilpin,alex gilpin,alex gilpin,,67.0,145.0,,Orthodox,True
Alex,Gorgees,1995-08-11,Alex Gorgees,alex gorgees,alex gorgees,Hitman,74.0,155.0,74.0,Switch,False
Alex,Higley,,Alex Higley,alex higley,alex higley,,70.0,145.0,,,False
Alex,Huddleston,1986-08-11,Alex Huddleston,alex huddleston,alex huddleston,The Shaved Gorilla,79.0,254.0,,,False
Alex,Hunter,,Alex Hunter,alex hunter,alex hunter,,69.0,226.0,,Orthodox,False
Alex,Karalexis,1977-09-20,Alex Karalexis,alex karalexis,alex karalexis,The Assassin,68.0,155.0,66.0,Orthodox,False
Alex,Morono,1990-08-16,Alex Morono,alex morono,alex morono,The Great White,71.0,170.0,72.0,Orthodox,False
Alex,Nicholson,1990-05-02,Alex Nicholson,alex nicholson,alex nicholson,The Spartan,76.0,185.0,77.0,Orthodox,False
Alex,Oliveira,1988-02-21,Alex Oliveira,alex oliveira,alex oliveira,Cowboy,71.0,170.0,76.0,Orthodox,False
Alex,Pereira,1987-07-07,Alex Pereira,alex pereira,alex pereira,Poatan,76.0,205.0,79.0,Orthodox,True
Alex,Perez,1992-03-21,Alex Perez,alex perez,alex perez,,66.0,125.0,65.0,Orthodox,True
Alex,Reyes,1986-10-02,Alex Reyes,alex reyes,alex reyes,The Executioner,71.0,155.0,73.0,Orthodox,True
Alex,Ricci,1982-07-21,Alex Ricci,alex ricci,alex ricci,,71.0,155.0,,Orthodox,False
Alex,Schoenauer,1976-05-05,Alex Schoenauer,alex schoenauer,alex schoenauer,,75.0,185.0,,Orthodox,False
Alex,Serdyukov,1980-05-24,Alex Serdyukov,alex serdyukov,alex serdyukov,The Russian Crusher,74.0,170.0,74.0,Orthodox,False
Alex,Soto,1984-02-15,Alex Soto,alex soto,alex soto,Extremo,68.0,135.0,,Southpaw,False
Alex,Stiebling,,Alex Stiebling,alex stiebling,alex stiebling,The Brazilian Killa,74.0,205.0,,Southpaw,False
Alex,Torres,1988-05-29,Alex Torres,alex torres,alex torres,Rolo,70.0,145.0,,Orthodox,False
Alex,White,1988-10-22,Alex White,alex white,alex white,The Spartan,72.0,155.0,71.0,Southpaw,False
Alex,Zuniga,,Alex Zuniga,alex zuniga,alex zuniga,,,145.0,,,False
Alexa,Grasso,1993-08-09,Alexa Grasso,alexa grasso,alexa grasso,,65.0,125.0,66.0,Orthodox,True
Alexander,Crispim,,Alexander Crispim,alexander crispim,alexander crispim,,,145.0,,,False
Alexander,Gustafsson,1987-01-15,Alexander Gustafsson,alexander gustafsson,alexander gustafsson,The Mauler,77.0,205.0,79.0,Orthodox,False
Alexander,Hernandez,1992-10-01,Alexander Hernandez,alexander hernandez,alexander hernandez,El Gran Chango,69.0,155.0,72.0,Orthodox,True
Alexander,Morgan,1991-05-14,Alexander Morgan,alexander morgan,alexander morgan,The Chess Master,70.0,145.0,71.0,Orthodox,False
Alexander,Munoz,1990-02-27,Alexander Munoz,alexander munoz,alexander munoz,,69.0,155.0,72.0,Switch,False
Alexander,Otsuka,2071-07-17,Alexander Otsuka,alexander otsuka,alexander otsuka,The Diet Butcher,73.0,205.0,,Orthodox,False
Alexander,Poppeck,1992-04-06,Alexander Poppeck,alexander poppeck,alexander poppeck,,74.0,205.0,,Orthodox,False
Alexander,Sarnavskiy,1989-01-17,Alexander Sarnavskiy,alexander sarnavskiy,alexander sarnavskiy,Tiger,71.0,155.0,,,False
Alexander,Shlemenko,1984-05-20,Alexander Shlemenko,alexander shlemenko,alexander shlemenko,Storm,71.0,185.0,,,False
Alexander,Soldatkin,1993-06-10,Alexander Soldatkin,alexander soldatkin,alexander soldatkin,,74.0,250.0,75.0,Orthodox,True
Alexander,Trevino,,Alexander Trevino,alexander trevino,alexander trevino,,,170.0,,,False
Alexander,Volkanovski,1988-09-29,Alexander Volkanovski,alexander volkanovski,alexander volkanovski,The Great,66.0,145.0,71.0,Orthodox,True
Alexander,Volkov,1988-10-24,Alexander Volkov,alexander volkov,alexander volkov,Drago,79.0,250.0,80.0,Orthodox,True
Alexander,Yakovlev,1984-07-18,Alexander Yakovlev,alexander yakovlev,alexander yakovlev,Russian Thunder,75.0,155.0,74.0,Southpaw,False
Alexandr,Romanov,1990-12-11,Alexandr Romanov,alexandr romanov,alexandr romanov,King Kong,74.0,262.0,75.0,Southpaw,False
Alexandre,Barros,1976-11-19,Alexandre Barros,alexandre barros,alexandre barros,Baixinho,69.0,170.0,,Southpaw,False
Alexandre,Dantas,1979-03-01,Alexandre Dantas,alexandre dantas,alexandre dantas,Cafe,74.0,238.0,,Orthodox,False
Alexandre,Ferreira,1979-04-25,Alexandre Ferreira,alexandre ferreira,alexandre ferreira,Cacareco,67.0,205.0,,Orthodox,False
Alexandre,Pantoja,1990-04-16,Alexandre Pantoja,alexandre pantoja,alexandre pantoja,The Cannibal,65.0,125.0,67.0,Orthodox,True
Alexandre Franca,Nogueira,1978-01-15,Alexandre Franca Nogueira,alexandre franca nogueira,alexandre franca nogueira,Pequeno,67.0,145.0,,Orthodox,False
Alexandru,Lungu,2074-09-03,Alexandru Lungu,alexandru lungu,alexandru lungu,,72.0,385.0,,Orthodox,False
Alexia,Thainara,1995-11-20,Alexia Thainara,alexia thainara,alexia thainara,Burguesinha,64.0,115.0,67.0,Orthodox,True
Alexis,Davis,1984-10-04,Alexis Davis,alexis davis,alexis davis,,66.0,135.0,68.0,Orthodox,False
Alexis,Dufresne,1990-08-31,Alexis Dufresne,alexis dufresne,alexis dufresne,Sneaky Zebra,69.0,135.0,,Orthodox,False
Alfonso,Alcarez,2070-06-10,Alfonso Alcarez,alfonso alcarez,alfonso alcarez,,63.0,145.0,,,False
Alfred,Khashakyan,1988-07-17,Alfred Khashakyan,alfred khashakyan,alfred khashakyan,The Fearless,68.0,135.0,70.0,Orthodox,False
Ali,AlQaisi,1990-09-23,Ali AlQaisi,ali alqaisi,ali alqaisi,The Royal Fighter,66.0,135.0,68.0,Orthodox,False
Ali,Bagautinov,1985-06-10,Ali Bagautinov,ali bagautinov,ali bagautinov,Puncher,64.0,125.0,65.0,Orthodox,False
Aliaskhab,Khizriev,1990-08-24,Aliaskhab Khizriev,aliaskhab khizriev,aliaskhab khizriev,Black Wolf,69.0,185.0,74.0,Southpaw,True
Alibi,Idiris,1994-10-22,Alibi Idiris,alibi idiris,alibi idiris,,66.0,125.0,68.0,Orthodox,True
Alice,Ardelean,1992-04-19,Alice Ardelean,alice ardelean,alice ardelean,,63.0,115.0,62.0,Orthodox,True
Alice,Pereira,2005-12-20,Alice Pereira,alice pereira,alice pereira,Golden Girl,,135.0,,,True
Aliev,Makhmud,2070-02-13,Aliev Makhmud,aliev makhmud,aliev makhmud,,66.0,195.0,,Southpaw,False
Alik,Lorenz,1997-01-25,Alik Lorenz,alik lorenz,alik lorenz,,74.0,205.0,77.0,Orthodox,False
Alistair,Overeem,1980-05-17,Alistair Overeem,alistair overeem,alistair overeem,The Demolition Man,76.0,265.0,80.0,Orthodox,False
Aljamain,Sterling,1989-07-31,Aljamain Sterling,aljamain sterling,aljamain sterling,Funk Master,67.0,145.0,71.0,Orthodox,True
Allan,Begosso,1995-11-23,Allan Begosso,allan begosso,allan begosso,Mini,65.0,135.0,66.0,Orthodox,True
Allan,Goes,2071-04-20,Allan Goes,allan goes,allan goes,,72.0,205.0,,Orthodox,False
Allan,Nascimento,1991-09-11,Allan Nascimento,allan nascimento,allan nascimento,Puro Osso,68.0,125.0,69.0,Orthodox,True
Allan,Zuniga,1992-04-04,Allan Zuniga,allan zuniga,allan zuniga,Tigre,67.0,155.0,70.0,Orthodox,False
Allen,Berube,2074-08-25,Allen Berube,allen berube,allen berube,Monstah Lobstah,68.0,155.0,,Orthodox,False
Allen,Crowder,1989-11-08,Allen Crowder,allen crowder,allen crowder,Pretty Boy,75.0,245.0,76.0,Orthodox,False
Allen,Frye Jr.,1998-04-15,Allen Frye Jr.,allen frye jr,allen frye jr,,,265.0,,,True
Alonzo,Martinez,1984-04-22,Alonzo Martinez,alonzo martinez,alonzo martinez,Zo Diddy,70.0,155.0,,,False
Alonzo,Menifield,1987-10-18,Alonzo Menifield,alonzo menifield,alonzo menifield,Atomic,72.0,205.0,76.0,Orthodox,True
Alptekin,Ozkilic,1986-03-27,Alptekin Ozkilic,alptekin ozkilic,alptekin ozkilic,The Turkish Delight,65.0,125.0,65.0,Orthodox,False
Alton,Cunningham,1993-06-24,Alton Cunningham,alton cunningham,alton cunningham,The Bo-Man,74.0,205.0,77.0,Orthodox,False
Alvaro,Herrera Mendoza,1990-05-14,Alvaro Herrera Mendoza,alvaro herrera mendoza,alvaro herrera mendoza,Chango,72.0,155.0,74.0,Orthodox,False
Alvin,Cacdac,,Alvin Cacdac,alvin cacdac,alvin cacdac,,66.0,125.0,,Orthodox,False
Alvin,Hines,1991-10-20,Alvin Hines,alvin hines,alvin hines,Goozie,74.0,265.0,74.0,Orthodox,True
Alvin,Robinson,1982-07-16,Alvin Robinson,alvin robinson,alvin robinson,,69.0,155.0,68.0,Southpaw,False
Amador,Ramirez,1990-06-14,Amador Ramirez,amador ramirez,amador ramirez,,,135.0,,,False
Amanda,Cooper,1991-10-22,Amanda Cooper,amanda cooper,amanda cooper,ABC,63.0,115.0,64.0,Switch,False
Amanda,Lemos,1987-05-22,Amanda Lemos,amanda lemos,amanda lemos,,64.0,115.0,65.0,Southpaw,True
Amanda,Nunes,1988-05-30,Amanda Nunes,amanda nunes,amanda nunes,The Lioness,68.0,135.0,69.0,Orthodox,True
Amanda,Ribas,1993-08-26,Amanda Ribas,amanda ribas,amanda ribas,,64.0,115.0,66.0,Orthodox,True
Amar,Suloev,1976-07-01,Amar Suloev,amar suloev,amar suloev,,69.0,183.0,,Orthodox,False
Amaury,Bitetti,,Amaury Bitetti,amaury bitetti,amaury bitetti,,69.0,185.0,,Orthodox,False
Amber,Tackett,,Amber Tackett,amber tackett,amber tackett,,,115.0,,,False
Amilcar,Alves,1988-08-08,Amilcar Alves,amilcar alves,amilcar alves,,72.0,170.0,,Southpaw,False
Amir,Albazi,1993-10-27,Amir Albazi,amir albazi,amir albazi,The Prince,65.0,125.0,68.0,Orthodox,True
Amir,Aliakbari,1984-06-10,Amir Aliakbari,amir aliakbari,amir aliakbari,,75.0,250.0,,,False
Amir,Rahnavardi,2074-12-07,Amir Rahnavardi,amir rahnavardi,amir rahnavardi,,72.0,205.0,,Orthodox,False
Amir,Sadollah,1980-08-27,Amir Sadollah,amir sadollah,amir sadollah,,70.0,170.0,75.0,Orthodox,False
Amiran,Gogoladze,1997-12-09,Amiran Gogoladze,amiran gogoladze,amiran gogoladze,,73.0,170.0,74.0,Switch,True
An Tuan,Ho,2000-09-27,An Tuan Ho,an tuan ho,an tuan ho,Highlight,66.0,125.0,66.0,Switch,False
Ananias,Mulumba,1998-09-18,Ananias Mulumba,ananias mulumba,ananias mulumba,Metal,,145.0,,,False
Anatoly,Tokov,1990-02-17,Anatoly Tokov,anatoly tokov,anatoly tokov,,70.0,185.0,,,False
Anderson,Dos Santos,1985-07-24,Anderson Dos Santos,anderson dos santos,anderson dos santos,Berinja,65.0,135.0,70.0,Orthodox,False
Anderson,Silva,2075-04-14,Anderson Silva,anderson silva,anderson silva,The Spider,74.0,185.0,77.0,Southpaw,False
Andre,Amado,,Andre Amado,andre amado,andre amado,Dida,72.0,154.0,,Orthodox,False
Andre,Ewell,1988-01-21,Andre Ewell,andre ewell,andre ewell,Mr. Highlight,68.0,145.0,75.0,Southpaw,False
Andre,Fialho,1994-04-07,Andre Fialho,andre fialho,andre fialho,,72.0,170.0,74.0,Orthodox,True
Andre,Fili,1990-06-25,Andre Fili,andre fili,andre fili,Touchy,71.0,145.0,74.0,Orthodox,True
Andre,Galvao,1982-09-29,Andre Galvao,andre galvao,andre galvao,,67.0,168.0,,Orthodox,False
Andre,Gusmao,1977-05-19,Andre Gusmao,andre gusmao,andre gusmao,,72.0,205.0,,Orthodox,False
Andre,Lima,1999-02-04,Andre Lima,andre lima,andre lima,Mascote,67.0,125.0,67.0,Orthodox,True
Andre,Muniz,1990-02-17,Andre Muniz,andre muniz,andre muniz,Sergipano,73.0,185.0,78.0,Southpaw,False
Andre,Mussi,,Andre Mussi,andre mussi,andre mussi,,75.0,242.0,,Orthodox,False
